	stem	count	lyric_count	p_english	p_lyrics	cliche
129	analyst	22662.0	1.0	6.87152418093e-05	2.13760827627e-08	-8.07545364489
130	analyz	15587.0	1.0	4.72625749749e-05	2.13760827627e-08	-7.70120136544
131	ancestor	6529.0	1.0	1.97970970688e-05	2.13760827627e-08	-6.83101792414
132	ancient	19818.0	1950.0	6.00917245687e-05	4.16833613873e-05	-0.365770096015
133	and	10741073.0	1055748.0	0.0325688566096	0.0225677566246	-0.366834323492
134	and/or	8481.0	1.0	2.57159105897e-05	2.13760827627e-08	-7.09259249932
135	angel	6978.0	14824.0	2.11585454658e-05	0.000316879050875	2.70647629326
136	anger	14241.0	2610.0	4.3181261963e-05	5.57915760107e-05	0.256216240143
137	angl	10456.0	1.0	3.1704464229e-05	2.13760827627e-08	-7.30194010826
138	angri	21485.0	1866.0	6.51463670582e-05	3.98877704352e-05	-0.490566767756
139	ani	353452.0	17758.0	0.00107172975236	0.0003795964777	-1.03792042545
140	anim	53127.0	3168.0	0.000161090576807	6.77194301923e-05	-0.866593652597
141	ankl	7397.0	1.0	2.2429028491e-05	2.13760827627e-08	-6.95583864454
142	anniversari	8676.0	1.0	2.6307185506e-05	2.13760827627e-08	-7.1153247249
143	announc	41168.0	1.0	0.000124828747454	2.13760827627e-08	-8.67242538748
144	annual	35399.0	1.0	0.000107336106469	2.13760827627e-08	-8.52144770309
145	anonym	5949.0	1.0	1.80384332152e-05	2.13760827627e-08	-6.73798727014
146	anoth	255087.0	37808.0	0.000773469459333	0.000808186937093	0.0439072040489
147	answer	97630.0	10038.0	0.000296031641419	0.000214573118772	-0.321815784959
148	anticip	9345.0	617.0	2.83357132957e-05	1.31890430646e-05	-0.764736548938
149	anxieti	14088.0	1.0	4.27173385672e-05	2.13760827627e-08	-7.60008750313
150	anxiou	7096.0	1.0	2.15163425946e-05	2.13760827627e-08	-6.91429537694
151	anybodi	28704.0	3743.0	8.70356676769e-05	8.00106777809e-05	-0.0841579099082
152	anymor	21771.0	1.0	6.60135702687e-05	2.13760827627e-08	-8.0353429409
153	anyon	58274.0	6757.0	0.000176697202418	0.000144438191228	-0.201585873141
154	anyth	120292.0	15768.0	0.000364746883228	0.000337058073003	-0.0789484034574
155	anyway	28170.0	6059.0	8.541648406e-05	0.000129517685459	0.416278335121
156	anywher	18970.0	3429.0	5.75204367277e-05	7.32985877934e-05	0.24240103658
157	apart	54100.0	11588.0	0.00016404088703	0.000247706047054	0.412127041101
158	apolog	12457.0	1347.0	3.77718545238e-05	2.87935834814e-05	-0.27141166943
159	appar	39947.0	1.0	0.000121126456824	2.13760827627e-08	-8.64231770746
160	appeal	30306.0	712.0	9.18932185276e-05	1.52197709271e-05	-1.79803193324
161	appear	121817.0	2613.0	0.000369370956292	5.5855704259e-05	-1.88902978502
162	appl	12172.0	1532.0	3.69076834923e-05	3.27481587925e-05	-0.11957301367
163	appli	42391.0	1.0	0.000128537102442	2.13760827627e-08	-8.70170020749
164	applic	25735.0	1.0	7.80331280541e-05	2.13760827627e-08	-8.20261606504
165	appoint	19534.0	1.0	5.92305857163e-05	2.13760827627e-08	-7.92692066896
166	appreci	26860.0	803.0	8.14443294942e-05	1.71649944585e-05	-1.55704760908
167	approach	81429.0	964.0	0.000246907308503	2.06065437833e-05	-2.48340431224
168	appropri	26237.0	1.0	7.95552819412e-05	2.13760827627e-08	-8.22193476021
169	approv	30124.0	1.0	9.13413619391e-05	2.13760827627e-08	-8.36008632818
170	approxim	15172.0	1.0	4.60042206659e-05	2.13760827627e-08	-7.67421575576
171	arab	23954.0	1.0	7.2632817152e-05	2.13760827627e-08	-8.13089945646
172	architect	8969.0	1.0	2.719561397e-05	2.13760827627e-08	-7.14853831907
173	architectur	8449.0	1.0	2.56188808599e-05	2.13760827627e-08	-7.08881222311
174	area	165812.0	1.0	0.000502771673942	2.13760827627e-08	-10.0656187484
175	arena	8008.0	684.0	2.42816898954e-05	1.46212406097e-05	-0.507247256327
176	argu	51013.0	634.0	0.000154680550279	1.35524364716e-05	-2.4347956797
177	argument	33394.0	1.0	0.000101256587458	2.13760827627e-08	-8.46314037506
178	aris	13351.0	1284.0	4.04826226015e-05	2.74468902673e-05	-0.388619936094
179	arm	103063.0	18112.0	0.000312505470241	0.000387163610998	0.214225397334
180	armi	23929.0	1982.0	7.25570126756e-05	4.23673960357e-05	-0.537993529543
181	around	266555.0	59962.0	0.000808242488769	0.00128175267462	0.461121573995
182	arrang	29661.0	587.0	8.99374630353e-05	1.25477605817e-05	-1.96957236369
183	array	8167.0	1.0	2.47638063656e-05	2.13760827627e-08	-7.05486577631
184	arrest	26455.0	1.0	8.02162969758e-05	2.13760827627e-08	-8.23020930829
185	arriv	56737.0	2894.0	0.000172036743206	6.18623835153e-05	-1.02279577997
186	arrow	5208.0	1074.0	1.57915885334e-05	2.29579128872e-05	0.374185238226
187	art	117851.0	3165.0	0.000357345334148	6.7655301944e-05	-1.66427691207
188	articl	54871.0	1.0	0.000166378697084	2.13760827627e-08	-8.95974910774
189	articul	5350.0	1.0	1.62221579596e-05	2.13760827627e-08	-6.63186069284
190	artifact	5773.0	1.0	1.7504769701e-05	2.13760827627e-08	-6.70795600801
191	artifici	6730.0	1.0	2.04065650594e-05	2.13760827627e-08	-6.86133927559
192	artist	63776.0	1062.0	0.000193380251594	2.2701399894e-05	-2.14223187416
193	as	2407380.0	114988.0	0.00729960722032	0.00245799300472	-1.08847537605
194	ash	5647.0	2927.0	1.71227151398e-05	6.25677942465e-05	1.29584472406
195	asian	14873.0	1.0	4.50975991276e-05	2.13760827627e-08	-7.65431162055
196	asid	19056.0	1933.0	5.77812041266e-05	4.13199679803e-05	-0.335317665341
197	ask	284632.0	21428.0	0.000863055189598	0.00045804670144	-0.633507492781
198	asleep	10684.0	3092.0	3.23958010542e-05	6.60948479023e-05	0.713061982523
199	aspect	29460.0	1.0	8.93279950446e-05	2.13760827627e-08	-8.33779754297
200	ass	6911.0	10643.0	2.09553894689e-05	0.000227505648844	2.384779201
201	assault	11039.0	1.0	3.34722246197e-05	2.13760827627e-08	-7.35619858897
202	assembl	14910.0	1.0	4.52097897527e-05	2.13760827627e-08	-7.65679626071
203	assert	10125.0	1.0	3.07008129609e-05	2.13760827627e-08	-7.26977174493
204	assess	45538.0	1.0	0.000138079369937	2.13760827627e-08	-8.77331127417
205	asset	16977.0	1.0	5.14773038653e-05	2.13760827627e-08	-7.78662361876
206	assign	22710.0	1.0	6.88607864041e-05	2.13760827627e-08	-8.07756948805
207	assist	54363.0	1.0	0.000164838350123	2.13760827627e-08	-8.95044790733
208	associ	66638.0	1.0	0.000202058348058	2.13760827627e-08	-9.15403911734
209	assum	35960.0	570.0	0.000109037158921	1.21843671748e-05	-2.19153498071
210	assumpt	13434.0	1.0	4.07342934633e-05	2.13760827627e-08	-7.55255293878
211	assur	12542.0	551.0	3.80295897437e-05	1.17782216023e-05	-1.1721123349
212	astronom	8157.0	1.0	2.4733484575e-05	2.13760827627e-08	-7.05364058625
213	at	1767638.0	113918.0	0.00535979492548	0.00243512059616	-0.788929432726
214	athlet	34671.0	1.0	0.000105128680115	2.13760827627e-08	-8.5006677346
215	atmospher	15310.0	710.0	4.64226613759e-05	1.51770187615e-05	-1.11800537157
216	atop	5578.0	1.0	1.69134947848e-05	2.13760827627e-08	-6.67359442114
217	attach	14552.0	1.0	4.412426965e-05	2.13760827627e-08	-7.63249257315
218	attack	74869.0	3257.0	0.000227016213883	6.96219015582e-05	-1.18194224633
219	attempt	54702.0	747.0	0.000165866258823	1.59679338238e-05	-2.34059921863
220	attend	39343.0	817.0	0.000119295020674	1.74642596171e-05	-1.92144310539
221	attent	65271.0	2825.0	0.000197913359286	6.03874338047e-05	-1.18704832186
222	attitud	35437.0	1481.0	0.000107451329273	3.16579785716e-05	-1.22204778971
223	attorney	37959.0	1.0	0.000115098484857	2.13760827627e-08	-8.59127076181
224	attract	37596.0	1203.0	0.000113997803859	2.57154275636e-05	-1.48908807772
